identifier,new,old,breakdown,Keep outliers,SD,ICR,Report
contraceptives_injectable__fp_contraception_u20,"['105-FP06. Injectable DMPA(IM)3 months', '105-FP07. Injectable DMPA(SC) 3 months', '105-FP08. Injection 2 months', '105-FP09. Injection 1 month']",['105-2.5 Injectable'],"['15-19Yrs, New', '15-19Yrs, Revisits', '<15Yrs, New', '<15Yrs, Revisits', 'New Users, 10-19 Years', 'Revisits, 10-19 Years']",WR7k2Kdjxa9,g9OYYhippal,sk5vBPPciuo,hD1FXSOF7JA
contraceptives_iuds,"['105-FP13. IUD-Copper-T', '105-FP14. IUD-Hormonal']",['105-2.5 IUDs '],[],ziCMFr8Xafn,BwCifuDmqSn,qamZv2FiLjC,wGXMgHu0TNV
contraceptives_iuds__fp_contraception_u20,"['105-FP13. IUD-Copper-T', '105-FP14. IUD-Hormonal']",['105-2.5 IUDs '],"['15-19Yrs, New', '15-19Yrs, Revisits', '<15Yrs, New', '<15Yrs, Revisits', 'New Users, 10-19 Years', 'Revisits, 10-19 Years']",qf0TdJ72hrL,gipYGPShv9a,fnRaE8g81as,Dmgt8ZJhKxG
contraceptives_male_condom,['105-FP20. Male Condoms'],['105-2.5 Male Condom'],[],KCQpte0G6h2,Kbn63adlI0O,Zwo6aATWDc2,Dzt3HrUayXZ
contraceptives_male_condom__fp_contraception_u20,['105-FP20. Male Condoms'],['105-2.5 Male Condom'],"['15-19Yrs, New', '15-19Yrs, Revisits', '<15Yrs, New', '<15Yrs, Revisits', 'New Users, 10-19 Years', 'Revisits, 10-19 Years']",hDESYu0OkOH,l5W3csIoO8l,ELYu8JAZCZP,gfld7V2vDUl
contraceptives_natural,"['105-FP15. FAM-SDM method', '105-FP16. FAM-LAM', '105-FP17. FAM-Two Days Method']",['105-2.5 Natural'],[],s72cLueI9CA,HKKouisy2Yr,s8q2qQiY7gn,z2gkDcVSbET
contraceptives_natural__fp_contraception_u20,"['105-FP15. FAM-SDM method', '105-FP16. FAM-LAM', '105-FP17. FAM-Two Days Method']",['105-2.5 Natural'],"['15-19Yrs, New', '15-19Yrs, Revisits', '<15Yrs, New', '<15Yrs, Revisits', 'New Users, 10-19 Years', 'Revisits, 10-19 Years']",LB7c1xndtoL,d5EZN78gPg3,Yb3HrSWeKw9,bzs78FUS7uD
contraceptives_oral_lofemenal,['105-FP01. Oral. Lo-Femenal'],['105-2.5 Oral: Lo-Feminal'],[],AaEe4ZRXm1L,B5MnllOyRlt,R3E4lD9PrXV,zCxkN6bzXaj
contraceptives_oral_lofemenal__fp_contraception_u20,['105-FP01. Oral. Lo-Femenal'],['105-2.5 Oral: Lo-Feminal'],"['15-19Yrs, New', '15-19Yrs, Revisits', '<15Yrs, New', '<15Yrs, Revisits', 'New Users, 10-19 Years', 'Revisits, 10-19 Years']",Zp7paaXDBIz,mNANnRYJ5nq,svP9yWURO1M,eywnUn5klyX
contraceptives_oral_microgynon,['105-FP02. Oral. Microgynon'],['105-2.5 Oral: Microgynon'],[],QHZPPCLE0Z4,gWGOCGlK8iR,EH2r5dMWTNC,ZCox3u3uuYD
contraceptives_oral_microgynon__fp_contraception_u20,['105-FP02. Oral. Microgynon'],['105-2.5 Oral: Microgynon'],"['15-19Yrs, New', '15-19Yrs, Revisits', '<15Yrs, New', '<15Yrs, Revisits', 'New Users, 10-19 Years', 'Revisits, 10-19 Years']",LiudKLE2WTf,NwWwd12rCfc,jfYzvv06oLa,u2VPdjFGnFW
contraceptives_oral_other,['105-FP05. Oral. Others'],['105-2.5 Oral : Other'],[],Y17RTZZgzMy,Ww6kAhZK6FQ,V0IxBSVJVBv,FYZKNnL6sqo
contraceptives_oral_other__fp_contraception_u20,['105-FP05. Oral. Others'],['105-2.5 Oral : Other'],"['15-19Yrs, New', '15-19Yrs, Revisits', '<15Yrs, New', '<15Yrs, Revisits', 'New Users, 10-19 Years', 'Revisits, 10-19 Years']",DoAHVV9mdjJ,I3jGNyDcs2D,zQNL8HQob73,pt7OM9rhLAt
contraceptives_oral_ovrette,['105-FP03. Oral. Ovrette or another POP'],['105-2.5 Oral : Ovrette or Another POP'],[],EbDRzEz4z04,wfPOyCs99jG,PmYvGOZhiap,myt564sGwNy
contraceptives_oral_ovrette__fp_contraception_u20,['105-FP03. Oral. Ovrette or another POP'],['105-2.5 Oral : Ovrette or Another POP'],"['15-19Yrs, New', '15-19Yrs, Revisits', '<15Yrs, New', '<15Yrs, Revisits', 'New Users, 10-19 Years', 'Revisits, 10-19 Years']",aVrf8SvKsPo,CeQSlBEsw0O,t9ywPuRUjaU,BmnuYsIlb0f
dpt1,['105-CL08. DPT-HepB+Hib 1'],['105-2.11 DPT-HepB+Hib 1'],[],oC7FyDwnr4Q,WfjdyK4HDFy,oHnIBwQRP9i,Sgcv4wRjOvy
dpt1__u1_outreach,['105-CL08. DPT-HepB+Hib 1'],['105-2.11 DPT-HepB+Hib 1'],"['<1Yr, Outreach', 'Under 1, Outreach, Female', 'Under 1, Outreach, Male']",AGc6L46NriF,j3nYw7VOZ4F,gr4aJFdjEaM,WEsLfzBUQhE
dpt1__u1_static,['105-CL08. DPT-HepB+Hib 1'],['105-2.11 DPT-HepB+Hib 1'],"['<1Yr, Static', 'Under 1, Static, Female', 'Under 1, Static, Male']",LLMgwz9alWf,RU0YpSFHjCK,ukAH5TKy3pk,kjCVNDnEpHw
dpt3,['105-CL10. DPT-HepB+Hib 3'],['105-2.11 DPT-HepB+Hib 3'],[],TSOy1xPkAoB,nMGhuXJ2nBL,iKJf4xFQ1Hi,PGH8dHGX5jB
dpt3__u1_outreach,['105-CL10. DPT-HepB+Hib 3'],['105-2.11 DPT-HepB+Hib 3'],"['<1Yr, Outreach', 'Under 1, Outreach, Female', 'Under 1, Outreach, Male']",JRqdmOZAc21,ev3flz8vq6h,TiGIgQd1FK0,nn5D4ZeFG07
dpt3__u1_static,['105-CL10. DPT-HepB+Hib 3'],['105-2.11 DPT-HepB+Hib 3'],"['<1Yr, Static', 'Under 1, Static, Female', 'Under 1, Static, Male']",a1DGVUgA4Hq,vY0cd3IEkNg,EjwW9kn7yG9,zu0wlVILKGj
expected_105_1_reporting,"['HMIS 105:01 - OPD Monthly Report (Attendance, Referrals, Conditions,TB, Nutrition) Expected reports 1. National']",['HMIS 105:1 Expected reports'],[],RtEYsASU7PG.EXPECTED_REPORTS,,,
hei_given_arv,['105-MA23a. HIV-exposed babies given ARVs - Total'],['105-2.2 M9: HIV-exposed babies given ARVs'],[],ZI2TCMq5RVE,rShQcVXoNsf,u5k4MuJgvZJ,w79JbEC1xP8
hiv_positive_linked,['105-HT03a3. Total Linked to HIV Care'],['105-4 Number of clients who have been linked to care'],[],D3NopJNYPJd,yiJpgQmv70F,Ggle522Ssh4,la8sD0jOPSl
hiv_positive_mother_before_anc,['105-AN33b. Pregnant Women who knew status before 1st ANC - HIV+ TRRK'],['105-2.1b Pregnant Women who knew status before 1st ANC (HIV+(TRRK))'],[],iHYEOyd2mfB,asxdmPDZj2I,W860yiFo0P4,ZSeJJh94Ofe
hpv1,['105-VP01. HPV1-Dose 1'],['105-2.10 HPV1-Dose 1'],[],acUYW7iCKkN,NZJgNAMnTko,CL9NIcu2Q5F,ppl54SaHWhq
hpv1__community,['105-VP01. HPV1-Dose 1'],['105-2.10 HPV1-Dose 1'],"['Community', 'Community, 15 Years and above', 'Community, 9-14 Years']",JMoS7sRS8TV,ypqYRsCReLr,K6ndlMJl55f,Bw8wXaoBzWH
hpv1__school,['105-VP01. HPV1-Dose 1'],['105-2.10 HPV1-Dose 1'],"['School', 'School, 10 Years', 'School, 11 Years', 'School, 12 Years', 'School, 13 Years', 'School, 14 Years', 'School, 9 Years']",wd2jJl3snue,acrN8e2MigO,BqCsjWQHpvJ,w8FPUCm4dFx
hpv2,['105-VP02. HPV2-Dose 2'],['105-2.10 HPV2-Dose 2'],[],OWlozg7071f,cpy7g0sJaMi,zEYiRiyAUYF,Kw4KVdPaoUh
hpv2__community,['105-VP02. HPV2-Dose 2'],['105-2.10 HPV2-Dose 2'],"['Community', 'Community, 15 Years and above', 'Community, 9-14 Years']",UVprF3OwYWO,VVSRpobSXG5,MSC9AhU5TKx,CkfNjcJrO2D
hpv2__school,['105-VP02. HPV2-Dose 2'],['105-2.10 HPV2-Dose 2'],"['School', 'School, 10 Years', 'School, 11 Years', 'School, 12 Years', 'School, 13 Years', 'School, 14 Years', 'School, 9 Years']",VtVHN1HOpnt,xjwAmXBai8F,dny6Axblwll,bAVdrmcqifj
injuries_gbv,['105-IN03. Injuries due to Gender based violence'],['105-1.3 OPD Injuries Due To Gender Based Violence '],[],R9bc4O2SmUv,pvQnmCukZGI,CGIhPNYNhGy,nFJGXkR0psY
ipd_attendance,['108-CI02. No. of admissions'],['108-1 Admissions'],[],WERgTk18dN6,fp3yswvIODe,lacZXEY07Yj,lUHCKxUEC64
low_weight_births,"['105-MA04d2. Deliveries in unit - Macerated still birth - less than 2.5kg', '105-MA04c2. Deliveries in unit - Fresh still birth - less than 2.5kg', '105-MA04b2. Deliveries in unit -Live births - less than 2.5kg']",['105-2.2 Babies Born with low birth weight (<2.5Kgs)'],[],tmKNs7oX1fh,JQoSgLe5I4G,TxlrAPixVDj,WLnbNoqXzTU
malaria_cases,['033B-CD01a. Malaria (diagnosed)  - Cases'],['Malaria Cases - WEP'],[],tpRElmfmKRf,xdFDBWsOzO6,lXHOrjUchnv,NOL7MSY4Wjj
malaria_cases_treated,"['033B-MA06. Not tested cases treated', '033B-MA07. RDT Negative Cases Treated', '033B-MA08. RDT Positive Cases Treated', '033B-MA09. Microscopy Negative Cases Treated', '033B-MA10. Microscopy Positive Cases Treated']",['Malaria treated - WEP'],[],o8HZazXY3ul,vlHm2Cu7Gqg,C9kgLz0azNE,fUCy6tdZ2X6
malaria_deaths,['033B-CD01b. Malaria (diagnosed) - Deaths'],['Malaria Deaths - WEP'],[],J3Le8foIDt1,jOMJUx8AHLI,HpdSUAJgUAj,OQOkGdyH6XJ
malaria_tests,"['033B-MA02. Cases Tested with RDT', '033B-MA04. Cases Tested with Microscopy']",['Malaria tests - WEP'],[],bylRx8gEhzE,R8rnuJ6JnfT,CDoA17nz1X4,ObUlwCtAeQ2
mam_identified,"['105-NA03a1. Identified malnourished clients(<10) this month - MAM using MUAC', '105-NA03b1. Identified malnourished clients(<10) this month - MAM using W/H or L']",['105-1.3 OPD Moderate Acute Malnutrition (MAM)'],[],VQaqPUETysf,Eg2QRqfKIo0,UxAJywazz68,mOfE5xHCP5s
mat_initiated_hiv,['105-MA17. Women initiating ART in maternity - HIV+'],['105-2.2 HIV+ women initiating ART in maternity'],[],xGG1Uf1hvrZ,uSNAZHuZ4ha,OmRUhgzxGjP,VJBUxPnxKZH
mat_tested_hiv,"['105-MA15a. Women tested for HIV in labour 1st time this Pregnancy - Total (TR & TRR)', '105-MA16a. Women re-tested for HIV in labour - Total (TR & TRR)']","['105-2.2a Women tested for HIV in labour (1st time this Pregnancy)', '105-2.2b Women tested for HIV in labour (Retest this Pregnancy)']",[],isbr9JgVfDL,lTzobrTnAZN,Qd6EDr1mAtQ,Gk8RuNcN7yR
mat_tested_hiv_positive,"['105-MA15b. Women tested for HIV in labour 1st time this Pregnancy - HIV+ (TRR)', '105-MA16b. Women re-tested for HIV in labour - HIV+ (TRR+)']","['105-2.2a Women testing HIV+ in labour (1st time this Pregnancy)', '105-2.2b Women testing HIV+ in labour (Retest this Pregnancy)']",[],WAENoWY2oiv,lTQC2AE6gOX,EbI7Ltiohlm,b1nutm6qc2l
maternal_deaths__a20,['105-MA13. Maternal deaths'],['105-2.2 OPD Maternal deaths'],"['20-24Yrs', '25-49Yrs', '50+Yrs', '20-24 Years', '>=25 Years']",XQtqg7Adrny,LnMXh14QGh8,RxhRYhfE5cj,svnHU0e9AqK
maternal_deaths,['105-MA13. Maternal deaths'],['105-2.2 OPD Maternal deaths'],[],uRGiqd14LCO,ozlXHrngdfT,rwcXXyR2UtW,tVyI1ahTs9d
maternal_deaths__u20,['105-MA13. Maternal deaths'],['105-2.2 OPD Maternal deaths'],"['15-19Yrs', '<15Yrs', '10-19 Years']",m5tGJxnABwo,c0MCKCXeFcK,TYZ3DJ6Wt6I,yoQpwzxAzsO
maternity_admissions,['105-MA01. Admissions'],['105-2.2 Admissions'],[],Y1PtvdlewTi,ApjN7gtEMhQ,ecAjuNp30H3,Zj38u0JHxE9
mr1,['105-CL16. Measles (MR1)'],['105-2.11 Measles'],[],SvFN3hScei9,Ji2kQnnPK8W,gkJpf1pXPsK,ltmH7TOkpRy
mr1__u1_outreach,['105-CL16. Measles (MR1)'],['105-2.11 Measles'],"['<1Yr, Outreach', 'Under 1, Outreach, Female', 'Under 1, Outreach, Male']",ZzNID35i0LL,BpsV3SecVvr,dxMJHzzUV8J,DptTxtX13eN
mr1__u1_static,['105-CL16. Measles (MR1)'],['105-2.11 Measles'],"['<1Yr, Static', 'Under 1, Static, Female', 'Under 1, Static, Male']",K7UkjTiDt4u,F9pyBzUiI3T,W1UUiSwMpmg,f5l5RLAV8w6
newborn_deaths,['105-MA11. Newborn deaths (0-7 days)'],['105-2.2 Newborn deaths (0-7days)'],[],rDp1JPURZK4,EkS5OgYSR0D,WWSoBjVmKia,cxfCe7i6pyS
opd_attendance,"['105-OA01. New attendance', '105-OA02. Re-attendance']","['105-1.1 OPD New Attendance', '105-1.1 OPD Re-Attendance']",[],Nl6EVorAmFJ,xMks9tp9rat,iPgeddwb5Pk,BhOJKuzfejn
pcv1,['105-CL11. PCV 1'],['105-2.11 PCV 1'],[],motun1Jq9Ak,SCO8rxL1Am9,cP9iNVMLVWG,wXWJI5YBTVC
pcv1__u1_outreach,['105-CL11. PCV 1'],['105-2.11 PCV 1'],"['<1Yr, Outreach', 'Under 1, Outreach, Female', 'Under 1, Outreach, Male']",RLfBZD4ManP,YuKuRNDwMTx,VMCUgmHHPC8,Tn0MniEHbF9
pcv1__u1_static,['105-CL11. PCV 1'],['105-2.11 PCV 1'],"['<1Yr, Static', 'Under 1, Static, Female', 'Under 1, Static, Male']",mSHbyhyPXeT,rRyn4jdCkJe,lMNz5FYTYbZ,ttFf7F6YjHV
pcv3,['105-CL13. PCV 3'],['105-2.11 PCV 3'],[],nC4tzVis1YF,Wi1h6CUVFty,FFh8A628S8l,PLKrUPHgSGe
pcv3__u1_outreach,['105-CL13. PCV 3'],['105-2.11 PCV 3'],"['<1Yr, Outreach', 'Under 1, Outreach, Female', 'Under 1, Outreach, Male']",DNkSk4vPtzJ,D4sCfRWISlY,TdJaqFaNq7l,rI4qyF8HOqn
pcv3__u1_static,['105-CL13. PCV 3'],['105-2.11 PCV 3'],"['<1Yr, Static', 'Under 1, Static, Female', 'Under 1, Static, Male']",oN11TwaMnRy,D5wAUAXSj0v,UeWUHsZ2BAj,qLofamaGr2o
pnc_initiated_hiv,['105-PN05a. HIV+ women initiating ART in Postnatal - Total'],['105-2.3 HIV+ women initiating ART in PNC'],[],trFiiP83egT,QPShDPMM9hh,f08w5uldbUm,Of6ZvYTPhoO
pnc_tested_hiv,['105-PN03a. Breastfeedng mothers tested for HIV 1st time during Postnatal - Total (TR & TRR)'],['105-2.3a Breastfeeding mothers tested for HIV(1st test)'],[],BNGHNuLYzSS,PDC8BLUs0Aw,F4uIfvHP9X0,ympxTWZWJZN
pnc_tested_hiv_positive,['105-PN03b. Breastfeedng mothers tested for HIV 1st time during Postnatal - TRR'],"['105-2.3a Breastfeeding mothers newly testing HIV+(1st test)', '105-2.3b Breastfeeding mothers newly testing HIV+(retest)']",[],yH1bClI0FYA,nnYO12b6x5u,C5JfB4nA02H,IuPDCgtoLtW
postnatal_visits,['105-PN01a. Post Natal Attendances - Mother'],['105-2.3 Postnatal Attendances'],[],rkqO8CZuqJL,wGvocUUdR9a,HGr0Nmrwumi,RUD9uWvWTx5
sam_identified,"['105-NA03c1. Identified malnourished clients(<10) this month - SAM using MUAC -  Without Oedema', '105-NA03d1. Identified malnourished clients(<10) this month - SAM using W/H or L -  Without Oedema', '105-NA03e1. Identified malnourished clients(<10) this month - SAM With Oedema']","['105-1.3 OPD Severe Acute Malnutrition Without Oedema', '105-1.3 OPD Severe Acute Malnutrition With Oedema']",[],qsL1vGYYAR8,NLNzcVzLZSd,fOmPAWY9bbi,BETIyGJxRON
sti_gbv,['105-CD05. Sexually Transmitted Infection due to Sexual Gender Based Violence'],['105-1.3 OPD Sexually Transmitted Infection Due To SGBV '],[],ms9leVpNzcn,jTsywZBDXn0,WvZMaCELqvl,AuQSp7PMXVs
sti_gbv__fp_stds_female,['105-CD05. Sexually Transmitted Infection due to Sexual Gender Based Violence'],['105-1.3 OPD Sexually Transmitted Infection Due To SGBV '],"['10-19Yrs, Female', '20+Yrs, Female', '29Dys-4Yrs, Female', '5-9Yrs, Female', '0-28 Days, Female', '29 Days-4 Years, Female', '5-59 Years, Female', '60andAbove Years, Female']",I913sXFyM8b,MsZKURdwuop,MKv7sCwLXvr,KOQVRZ1T4lU
sti_gbv__fp_stds_male,['105-CD05. Sexually Transmitted Infection due to Sexual Gender Based Violence'],['105-1.3 OPD Sexually Transmitted Infection Due To SGBV '],"['10-19Yrs, Male', '20+Yrs, Male', '29Dys-4Yrs, Male', '5-9Yrs, Male', '0-28 Days, Male', '29 Days-4 Years, Male', '5-59 Years, Male', '60andAbove Years, Male']",ZOTVYzXtHES,Op9Plm7EXA2,VUck2OowNq3,AHrEDCSDYcC
sti_other,['105-CD06. Other Sexually Transmitted Infections'],['105-1.3 OPD Other Sexually Transmitted Infections '],[],bmf84RLuPR4,g9Af942PyI5,v83HaSpyW81,jmMrPKXggNB
sti_other__fp_stds_female,['105-CD06. Other Sexually Transmitted Infections'],['105-1.3 OPD Other Sexually Transmitted Infections '],"['10-19Yrs, Female', '20+Yrs, Female', '29Dys-4Yrs, Female', '5-9Yrs, Female', '0-28 Days, Female', '29 Days-4 Years, Female', '5-59 Years, Female', '60andAbove Years, Female']",aYKvZGtJGni,MUoJm6sIg5D,C85UdC7Tski,G5Oejsue26I
sti_other__fp_stds_male,['105-CD06. Other Sexually Transmitted Infections'],['105-1.3 OPD Other Sexually Transmitted Infections '],"['10-19Yrs, Male', '20+Yrs, Male', '29Dys-4Yrs, Male', '5-9Yrs, Male', '0-28 Days, Male', '29 Days-4 Years, Male', '5-59 Years, Male', '60andAbove Years, Male']",hTM6Lw130HL,G8H3j2Mv6mI,iXZcxGxmrIk,IB1JpWSQMOM
tb_cases_registered,['105-TP04. Total New and relapse TB cases registered in TB treatment unit'],"['105-1.3 OPD New TB cases (Bacteriologically confirmed)', '105-1.3 OPD New TB cases (Clinically Diagnosed)', '105-1.3 OPD New TB cases (EPTB)']",[],dUVs5eHkvAM,ZHd2zYozvRM,y2eHwzwb4P0,eY1aFEZfIPL
tb_cases_registered__tb_female_a5,['105-TP04. Total New and relapse TB cases registered in TB treatment unit'],"['105-1.3 OPD New TB cases (Bacteriologically confirmed)', '105-1.3 OPD New TB cases (Clinically Diagnosed)', '105-1.3 OPD New TB cases (EPTB)']","['20+Yrs, Female', '5-9Yrs, Female', '15-19Yrs, Female', '10-14Yrs, Female', '60andAbove Years, Female', '5-59 Years, Female']",iQ66WQsi6Ft,h9PkjjeUuZG,tYSL1I5wjwI,yt77GIExUZQ
tb_cases_registered__tb_female_u5,['105-TP04. Total New and relapse TB cases registered in TB treatment unit'],"['105-1.3 OPD New TB cases (Bacteriologically confirmed)', '105-1.3 OPD New TB cases (Clinically Diagnosed)', '105-1.3 OPD New TB cases (EPTB)']","['<5Yrs, Female', '0-28 Days, Female', '29 Days-4 Years, Female']",aty1rdontOy,yJgFzYICxsv,q8BYirFsgDN,F2y9tF2i1u4
tb_cases_registered__tb_male_a5,['105-TP04. Total New and relapse TB cases registered in TB treatment unit'],"['105-1.3 OPD New TB cases (Bacteriologically confirmed)', '105-1.3 OPD New TB cases (Clinically Diagnosed)', '105-1.3 OPD New TB cases (EPTB)']","['20+Yrs, Male', '5-9Yrs, Male', '15-19Yrs, Male', '10-14Yrs, Male', '60andAbove Years, Male', '5-59 Years, Male']",e4usifRmXPs,YoulaxliHTX,OtvteoGPnG6,C12MEQnH8Fy
tb_cases_registered__tb_male_u5,['105-TP04. Total New and relapse TB cases registered in TB treatment unit'],"['105-1.3 OPD New TB cases (Bacteriologically confirmed)', '105-1.3 OPD New TB cases (Clinically Diagnosed)', '105-1.3 OPD New TB cases (EPTB)']","['<5Yrs, Male', '0-28 Days, Male', '29 Days-4 Years, Male']",QxDPgj1HFKZ,GtDx6R4FZhZ,zrtQTZVx26u,H7kAiI3Uval
td1__nonpregnant,['105-TD01. Td1-Dose 1'],['105-2.9 Tetanus Immunization Dose 1'],"['Non-Pregnant Women, Outreach', 'Non-Pregnant Women, Static', 'Non Pregnant Women, Outreach', 'Non Pregnant Women, Static']",q7M88VTuZHf,K593H8RWJBV,L082bx6pHJS,oZzDkKPx0D6
td1__pregnant,['105-TD01. Td1-Dose 1'],['105-2.9 Tetanus Immunization Dose 1'],"['Pregnant Women, Outreach', 'Pregnant Women, Static']",T8rb6tcFXgN,eEH6fG0J95C,iZNeyldIcnQ,JTDMo1i83QB
td2__nonpregnant,['105-TD02. Td2-Dose 2'],['105-2.9 Tetanus Immunization Dose 2'],"['Non-Pregnant Women, Outreach', 'Non-Pregnant Women, Static', 'Non Pregnant Women, Outreach', 'Non Pregnant Women, Static']",RXP7JY4G7SK,s6Cer7M67Cw,jPzdjYpR7vD,z5tCWNhDg3B
td2__pregnant,['105-TD02. Td2-Dose 2'],['105-2.9 Tetanus Immunization Dose 2'],"['Pregnant Women, Outreach', 'Pregnant Women, Static']",MVRJ6Dl1krP,PW4lUOalaLf,YMwijFKXZ0x,VjiUKM1LonZ
td3__nonpregnant,['105-TD03. Td3-Dose 3'],['105-2.9 Tetanus Immunization Dose 3'],"['Non-Pregnant Women, Outreach', 'Non-Pregnant Women, Static', 'Non Pregnant Women, Outreach', 'Non Pregnant Women, Static']",OzA4xJdYSxs,oPgAheO4KfH,atX2pY82Uou,sgUvN2oO0oX
td3__pregnant,['105-TD03. Td3-Dose 3'],['105-2.9 Tetanus Immunization Dose 3'],"['Pregnant Women, Outreach', 'Pregnant Women, Static']",tAWJCN5LMJF,zWGMj45BWHR,MWyldBWPMYI,x9t2HqD005X
td4_5__nonpregnant,"['105-TD04. Td4-Dose 4', '105-TD05. Td5-Dose 5']","['105-2.9 Tetanus Immunization Dose 4', '105-2.9 Tetanus Immunization Dose 5']","['Non-Pregnant Women, Outreach', 'Non-Pregnant Women, Static', 'Non Pregnant Women, Outreach', 'Non Pregnant Women, Static']",LlS0KFZyldh,PfIEkhiYOnw,q682TP38Lbw,EbkPscTFjL6
