,dataElement,period,orgUnit,categoryOptionCombo,attributeOptionCombo,value,storedBy,created,lastUpdated,followup
79,105-NA01a1. Clients(<10) who received nutrition assessment in this month - MUAC Tape,202101,Alero HC III,"24-59Mths, Female",Lf2Axb9E6B4,30,carapai,2021-11-24T18:06:06.000+0000,2021-11-24T18:06:06.000+0000,False
80,105-NA01a1. Clients(<10) who received nutrition assessment in this month - MUAC Tape,202101,Alero HC III,"6-23Mths, Male",Lf2Axb9E6B4,60,carapai,2021-11-24T18:06:06.000+0000,2021-11-24T18:06:06.000+0000,False
81,105-NA01a1. Clients(<10) who received nutrition assessment in this month - MUAC Tape,202101,Alerek HC III,"5-9Yrs, Female",Lf2Axb9E6B4,30,carapai,2021-11-24T13:20:11.000+0000,2021-11-24T13:20:11.000+0000,False
82,105-NA01a1. Clients(<10) who received nutrition assessment in this month - MUAC Tape,202101,Alerek HC III,"6-23Mths, Female",Lf2Axb9E6B4,29,carapai,2021-11-24T13:20:11.000+0000,2021-11-24T13:20:11.000+0000,False
83,105-NA01a1. Clients(<10) who received nutrition assessment in this month - MUAC Tape,202101,Alerek HC III,"24-59Mths, Male",Lf2Axb9E6B4,60,carapai,2021-11-24T13:20:11.000+0000,2021-11-24T13:20:11.000+0000,False
84,105-NA01a1. Clients(<10) who received nutrition assessment in this month - MUAC Tape,202101,Alerek HC III,"5-9Yrs, Male",Lf2Axb9E6B4,22,carapai,2021-11-24T13:20:11.000+0000,2021-11-24T13:20:11.000+0000,False
85,105-NA01a1. Clients(<10) who received nutrition assessment in this month - MUAC Tape,202101,Alerek HC III,"24-59Mths, Female",Lf2Axb9E6B4,52,carapai,2021-11-24T13:20:11.000+0000,2021-11-24T13:20:11.000+0000,False
86,105-NA01a1. Clients(<10) who received nutrition assessment in this month - MUAC Tape,202101,Alerek HC III,"6-23Mths, Male",Lf2Axb9E6B4,23,carapai,2021-11-24T13:20:11.000+0000,2021-11-24T13:20:11.000+0000,False
87,105-NA01a1. Clients(<10) who received nutrition assessment in this month - MUAC Tape,202101,Alakas HC II,"6-23Mths, Female",Lf2Axb9E6B4,8,carapai,2021-11-24T14:45:01.000+0000,2021-11-24T14:45:01.000+0000,False
88,105-NA01a1. Clients(<10) who received nutrition assessment in this month - MUAC Tape,202101,Alakas HC II,"24-59Mths, Male",Lf2Axb9E6B4,15,carapai,2021-11-24T14:45:01.000+0000,2021-11-24T14:45:01.000+0000,False
89,105-NA01a1. Clients(<10) who received nutrition assessment in this month - MUAC Tape,202101,Alakas HC II,"24-59Mths, Female",Lf2Axb9E6B4,21,carapai,2021-11-24T14:45:01.000+0000,2021-11-24T14:45:01.000+0000,False
90,105-NA01a1. Clients(<10) who received nutrition assessment in this month - MUAC Tape,202101,Alakas HC II,"6-23Mths, Male",Lf2Axb9E6B4,50,carapai,2021-11-24T14:45:01.000+0000,2021-11-24T14:45:01.000+0000,False
91,105-NA01a1. Clients(<10) who received nutrition assessment in this month - MUAC Tape,202101,Alanyi HC III,"5-9Yrs, Female",Lf2Axb9E6B4,17,carapai,2021-11-24T14:10:25.000+0000,2021-11-24T14:10:25.000+0000,False
92,105-NA01a1. Clients(<10) who received nutrition assessment in this month - MUAC Tape,202101,Alanyi HC III,"6-23Mths, Female",Lf2Axb9E6B4,21,carapai,2021-11-24T14:10:25.000+0000,2021-11-24T14:10:25.000+0000,False
93,105-NA01a1. Clients(<10) who received nutrition assessment in this month - MUAC Tape,202101,Alanyi HC III,"24-59Mths, Male",Lf2Axb9E6B4,21,carapai,2021-11-24T14:10:25.000+0000,2021-11-24T14:10:25.000+0000,False
94,105-NA01a1. Clients(<10) who received nutrition assessment in this month - MUAC Tape,202101,Alanyi HC III,"5-9Yrs, Male",Lf2Axb9E6B4,10,carapai,2021-11-24T14:10:25.000+0000,2021-11-24T14:10:25.000+0000,False
95,105-NA01a1. Clients(<10) who received nutrition assessment in this month - MUAC Tape,202101,Alanyi HC III,"24-59Mths, Female",Lf2Axb9E6B4,24,carapai,2021-11-24T14:10:25.000+0000,2021-11-24T14:10:25.000+0000,False
96,105-NA01a1. Clients(<10) who received nutrition assessment in this month - MUAC Tape,202101,Alanyi HC III,"6-23Mths, Male",Lf2Axb9E6B4,37,carapai,2021-11-24T14:10:25.000+0000,2021-11-24T14:10:25.000+0000,False
97,105-NA01a1. Clients(<10) who received nutrition assessment in this month - MUAC Tape,202101,Alebtong HC IV,"5-9Yrs, Female",Lf2Axb9E6B4,46,carapai,2021-11-24T14:10:25.000+0000,2021-11-24T14:10:25.000+0000,False
98,105-NA01a1. Clients(<10) who received nutrition assessment in this month - MUAC Tape,202101,Alebtong HC IV,"6-23Mths, Female",Lf2Axb9E6B4,20,carapai,2021-11-24T14:10:25.000+0000,2021-11-24T14:10:25.000+0000,False
99,105-NA01a1. Clients(<10) who received nutrition assessment in this month - MUAC Tape,202101,Alebtong HC IV,"24-59Mths, Male",Lf2Axb9E6B4,84,carapai,2021-11-24T14:10:25.000+0000,2021-11-24T14:10:25.000+0000,False
100,105-NA01a1. Clients(<10) who received nutrition assessment in this month - MUAC Tape,202101,Alebtong HC IV,"5-9Yrs, Male",Lf2Axb9E6B4,35,carapai,2021-11-24T14:10:25.000+0000,2021-11-24T14:10:25.000+0000,False
101,105-NA01a1. Clients(<10) who received nutrition assessment in this month - MUAC Tape,202101,Alebtong HC IV,"24-59Mths, Female",Lf2Axb9E6B4,103,carapai,2021-11-24T14:10:25.000+0000,2021-11-24T14:10:25.000+0000,False
102,105-NA01a1. Clients(<10) who received nutrition assessment in this month - MUAC Tape,202101,Alebtong HC IV,"6-23Mths, Male",Lf2Axb9E6B4,35,carapai,2021-11-24T14:10:25.000+0000,2021-11-24T14:10:25.000+0000,False
103,105-NA01a1. Clients(<10) who received nutrition assessment in this month - MUAC Tape,202101,Alelluyah Joint Maternity Clinic,"24-59Mths, Male",Lf2Axb9E6B4,3,carapai,2021-11-24T14:10:25.000+0000,2021-11-24T14:10:25.000+0000,False
104,105-NA01a1. Clients(<10) who received nutrition assessment in this month - MUAC Tape,202101,Alelluyah Joint Maternity Clinic,"5-9Yrs, Male",Lf2Axb9E6B4,1,carapai,2021-11-24T14:10:25.000+0000,2021-11-24T14:10:25.000+0000,False
105,105-NA01a1. Clients(<10) who received nutrition assessment in this month - MUAC Tape,202101,Akokoro HC III,"5-9Yrs, Female",Lf2Axb9E6B4,33,carapai,2021-11-24T16:34:06.000+0000,2021-11-24T16:34:06.000+0000,False
106,105-NA01a1. Clients(<10) who received nutrition assessment in this month - MUAC Tape,202101,Akokoro HC III,"6-23Mths, Female",Lf2Axb9E6B4,27,carapai,2021-11-24T16:34:06.000+0000,2021-11-24T16:34:06.000+0000,False
107,105-NA01a1. Clients(<10) who received nutrition assessment in this month - MUAC Tape,202101,Akokoro HC III,"24-59Mths, Male",Lf2Axb9E6B4,36,carapai,2021-11-24T16:34:06.000+0000,2021-11-24T16:34:06.000+0000,False
108,105-NA01a1. Clients(<10) who received nutrition assessment in this month - MUAC Tape,202101,Akokoro HC III,"5-9Yrs, Male",Lf2Axb9E6B4,35,carapai,2021-11-24T16:34:06.000+0000,2021-11-24T16:34:06.000+0000,False
109,105-NA01a1. Clients(<10) who received nutrition assessment in this month - MUAC Tape,202101,Akokoro HC III,"24-59Mths, Female",Lf2Axb9E6B4,43,carapai,2021-11-24T16:34:06.000+0000,2021-11-24T16:34:06.000+0000,False
110,105-NA01a1. Clients(<10) who received nutrition assessment in this month - MUAC Tape,202101,Akokoro HC III,"6-23Mths, Male",Lf2Axb9E6B4,26,carapai,2021-11-24T16:34:06.000+0000,2021-11-24T16:34:06.000+0000,False
111,105-NA01a1. Clients(<10) who received nutrition assessment in this month - MUAC Tape,202101,Alado HC II,"5-9Yrs, Female",Lf2Axb9E6B4,38,carapai,2021-11-24T16:34:06.000+0000,2021-11-24T16:34:06.000+0000,False
112,105-NA01a1. Clients(<10) who received nutrition assessment in this month - MUAC Tape,202101,Alado HC II,"6-23Mths, Female",Lf2Axb9E6B4,14,carapai,2021-11-24T16:34:06.000+0000,2021-11-24T16:34:06.000+0000,False
113,105-NA01a1. Clients(<10) who received nutrition assessment in this month - MUAC Tape,202101,Alado HC II,"24-59Mths, Male",Lf2Axb9E6B4,18,carapai,2021-11-24T16:34:06.000+0000,2021-11-24T16:34:06.000+0000,False
114,105-NA01a1. Clients(<10) who received nutrition assessment in this month - MUAC Tape,202101,Alado HC II,"5-9Yrs, Male",Lf2Axb9E6B4,32,carapai,2021-11-24T16:34:06.000+0000,2021-11-24T16:34:06.000+0000,False
115,105-NA01a1. Clients(<10) who received nutrition assessment in this month - MUAC Tape,202101,Alado HC II,"24-59Mths, Female",Lf2Axb9E6B4,20,carapai,2021-11-24T16:34:06.000+0000,2021-11-24T16:34:06.000+0000,False
116,105-NA01a1. Clients(<10) who received nutrition assessment in this month - MUAC Tape,202101,Alado HC II,"6-23Mths, Male",Lf2Axb9E6B4,18,carapai,2021-11-24T16:34:06.000+0000,2021-11-24T16:34:06.000+0000,False
117,105-NA01a1. Clients(<10) who received nutrition assessment in this month - MUAC Tape,202101,Alango HC II,"5-9Yrs, Female",Lf2Axb9E6B4,10,carapai,2021-11-24T18:06:27.000+0000,2021-11-24T18:06:27.000+0000,False
118,105-NA01a1. Clients(<10) who received nutrition assessment in this month - MUAC Tape,202101,Alango HC II,"6-23Mths, Female",Lf2Axb9E6B4,2,carapai,2021-11-24T18:06:27.000+0000,2021-11-24T18:06:27.000+0000,False
119,105-NA01a1. Clients(<10) who received nutrition assessment in this month - MUAC Tape,202101,Alango HC II,"24-59Mths, Male",Lf2Axb9E6B4,10,carapai,2021-11-24T18:06:27.000+0000,2021-11-24T18:06:27.000+0000,False
120,105-NA01a1. Clients(<10) who received nutrition assessment in this month - MUAC Tape,202101,Alango HC II,"5-9Yrs, Male",Lf2Axb9E6B4,11,carapai,2021-11-24T18:06:27.000+0000,2021-11-24T18:06:27.000+0000,False
121,105-NA01a1. Clients(<10) who received nutrition assessment in this month - MUAC Tape,202101,Alango HC II,"24-59Mths, Female",Lf2Axb9E6B4,7,carapai,2021-11-24T18:06:27.000+0000,2021-11-24T18:06:27.000+0000,False
122,105-NA01a1. Clients(<10) who received nutrition assessment in this month - MUAC Tape,202101,Alango HC II,"6-23Mths, Male",Lf2Axb9E6B4,3,carapai,2021-11-24T18:06:27.000+0000,2021-11-24T18:06:27.000+0000,False
123,105-NA01a1. Clients(<10) who received nutrition assessment in this month - MUAC Tape,202101,Alao HC II,"5-9Yrs, Female",Lf2Axb9E6B4,20,carapai,2021-11-24T18:06:46.000+0000,2021-11-24T18:06:46.000+0000,False
124,105-NA01a1. Clients(<10) who received nutrition assessment in this month - MUAC Tape,202101,Alao HC II,"6-23Mths, Female",Lf2Axb9E6B4,16,carapai,2021-11-24T18:06:46.000+0000,2021-11-24T18:06:46.000+0000,False
125,105-NA01a1. Clients(<10) who received nutrition assessment in this month - MUAC Tape,202101,Alao HC II,"24-59Mths, Male",Lf2Axb9E6B4,9,carapai,2021-11-24T18:06:46.000+0000,2021-11-24T18:06:46.000+0000,False
